day_ts,B,H,W,beta,dH,dW,sleepness,subjective_alertness,ts,x,xc,day
8,0.3336226008087767,0.4575012733091674,-5e-324,0.0,0.029807622345650143,1e-323,1.0319255099960898,72.55184995940115,5716.0,0.9293223743465162,-0.5673125087461979,263
9,0.38089940465817895,0.4873088956548175,5e-324,0.0,0.02816984089808695,-1e-323,1.3287618358046318,70.58174146130864,5717.0,0.7982707501623296,-0.8220467116508936,263
10,0.4326009224232175,0.5154787365529044,-5e-324,0.0,0.02662204744214811,1e-323,1.653379562099874,68.71988068289156,5718.0,0.6217390407328351,-1.0456058378688609,263
11,0.4899971129752233,0.5421007839950526,5e-324,0.0,0.025159297582689418,-1e-323,2.0137523650739433,66.96031994724464,5719.0,0.3908752514615851,-1.2258367701788748,263
12,0.5526107906200024,0.5672600815777421,-5e-324,0.0,0.02377691859462956,1e-323,2.4068841443846054,65.29743837289699,5720.0,0.10989715647216493,-1.3475615993553631,263
13,0.6181057364688536,0.5910370001723716,5e-324,0.0,0.022470494496023542,-1e-323,2.818106509304441,63.72592391801901,5721.0,-0.2030662887958143,-1.3956453333471932,263
14,0.6837591475784761,0.6135074946683952,-5e-324,0.0,0.021235851941296967,1e-323,3.2303238282386277,62.24075641121125,5722.0,-0.5270191516135094,-1.35866483574339,263
15,0.7474451571209954,0.6347433466096921,5e-324,0.0,0.02006904688957736,-1e-323,3.6301884455301834,60.837191514667644,5723.0,-0.845474947571667,-1.230195008085347,263
16,0.8049958995665729,0.6548123934992695,-5e-324,0.0,0.018966352005534648,1e-323,3.9915316317048766,59.51074556848358,5724.0,-1.1266579599947748,-1.0084279167209418,263
17,0.8369161517506907,0.6737787455048041,5e-324,0.0,0.01792424475248329,-1e-323,4.19194895279532,58.25718126769424,5725.0,-1.2238365059706424,-0.7016233791378521,263
18,0.8401234269006238,0.6917029902572874,-5e-324,0.0,0.016939396139709482,1e-323,4.212086434474409,57.07249412628893,5726.0,-1.113431632733206,-0.3628345784279984,263
19,0.8505164346250501,0.7086423863969972,5e-324,1.0,-0.16872437771357068,0.0,4.277340892809741,27.88552941176471,5727.0,-1.0643214420709162,-0.053270267568484915,263
20,0.6703598963117801,0.5399180086834263,5e-324,1.0,-0.12855190682938722,0.0,3.146194103072324,27.88552941176471,5728.0,-0.9785587969118814,0.2439224844832121,263
21,0.526557702751919,0.4113661018540391,5e-324,1.0,-0.0979443099652474,0.0,2.2433049205571307,27.88552941176471,5729.0,-0.8641530449953481,0.5176384357162351,263
22,0.4080550855820873,0.3134217918887917,5e-324,1.0,-0.07462423616399802,0.0,1.4992638979990067,27.88552941176471,5730.0,-0.7099271844958404,0.7594661903299056,263
23,0.3060401430285235,0.2387975557247937,5e-324,1.0,-0.05685656088685564,0.0,0.8587438488512213,27.88552941176471,5731.0,-0.5044455161570127,0.958329878021873,263
24,0.2146010213271229,0.18194099483793805,5e-324,1.0,-0.04331928448522334,0.0,0.2846260847260336,27.88552941176471,5732.0,-0.2450114515317692,1.1005124408945886,263
0,0.1311900857241233,0.1386217103527147,5e-324,0.0,0.047328477453147534,-1e-323,-0.23908519946984885,93.62791330868762,5733.0,0.055751122495059265,1.1720178117900728,264
1,0.13571988433321008,0.18595018780586225,-5e-324,0.0,0.04472801165901856,1e-323,-0.21064400492427104,90.49977935184313,5734.0,0.376821481415245,1.1624786119910646,264
2,0.13741266582997524,0.23067819946488086,5e-324,0.0,0.04227042860083073,-1e-323,-0.20001555716589348,87.54352088713293,5735.0,0.6996664188665085,1.0670629210626899,264
3,0.1387824215897392,0.2729486280657116,-5e-324,0.0,0.039947877578807064,1e-323,-0.1914152873955719,84.74969420619803,5736.0,1.0064981731130709,0.8856033402434499,264
4,0.15036264890135487,0.31289650564451865,5e-324,0.0,0.037752939250301175,-1e-323,-0.11870664706198485,82.10937448575405,5737.0,1.2193087527619189,0.6224098068355246,264
5,0.196561806641156,0.3506494448948198,-5e-324,0.0,0.03567860192885605,1e-323,0.17136347448463507,79.61412727742237,5738.0,1.1559462734708466,0.3020636818061445,264
6,0.23946227872166115,0.38632804682367583,5e-324,0.0,0.03371823918551232,-1e-323,0.4407221762360036,77.255981564054,5739.0,1.1017687029408454,-0.003834017991039329,264
7,0.2834017655693053,0.42004628600918814,-5e-324,0.0,0.031865588680813836,1e-323,0.7166045280826872,75.02740429647507,5740.0,1.0250901758430824,-0.2979889365104592,264
8,0.3284524076234725,0.451911874690002,5e-324,0.0,0.030114732159890006,-1e-323,0.999463477373606,72.92127632931258,5741.0,0.9261775473858176,-0.5748495041203854,264
9,0.3761859458557781,0.48202660684989207,-5e-324,0.0,0.028460076546709238,1e-323,1.2991674961108692,70.93086967902714,5742.0,0.7940034583204341,-0.8288484572107283,264
10,0.4283720704033921,0.5104866833966013,5e-324,0.0,0.02689633607710982,-1e-323,1.6268279174508058,69.04982603150464,5743.0,0.6160136008492816,-1.0513778784064112,264
11,0.4862501174951202,0.5373830194737111,-5e-324,0.0,0.02541851541353236,1e-323,1.9902261475513283,67.2721364305493,5744.0,0.38359266300518335,-1.2301823203716775,264
12,0.5492833060250027,0.5628015348872435,5e-324,0.0,0.02402189368751409,-1e-323,2.3859919050422302,65.59212208239371,5745.0,0.10141206948417623,-1.3500320209201746,264
13,0.6151024522066831,0.5868234285747576,-5e-324,0.0,0.02270200941896936,1e-323,2.7992498228714697,64.00441621490603,5746.0,-0.2121457136678592,-1.3958526262110935,264
14,0.6809953252063629,0.6095254379937269,5e-324,1.0,-0.14512510428422068,0.0,3.212970648426836,27.88552941176471,5747.0,-0.5361581936431804,-1.3563567025191954,264
15,0.5782687655387745,0.4644003337095063,5e-324,1.0,-0.11057150802607292,0.0,2.567982577071322,27.88552941176471,5748.0,-0.8542267954183659,-1.225255803139884,264
16,0.5048702181578457,0.3538288256834334,5e-324,1.0,-0.08424495849605558,0.0,2.107135959909097,27.88552941176471,5749.0,-1.1330937169873392,-1.0008810282125096,264
17,0.4324405256188194,0.2695838671873778,5e-324,1.0,-0.06418663504461376,0.0,1.6523724805247186,27.88552941176471,5750.0,-1.2217303708285192,-0.6920933992580179,264
18,0.3537126828180205,0.20539723214276406,5e-324,1.0,-0.048904102891134296,0.0,1.1580648773656042,27.88552941176471,5751.0,-1.1126440410746916,-0.35382710663792305,264
19,0.2980643264700891,0.15649312925162978,5e-324,1.0,-0.03726026886943566,0.0,0.8086661809515432,27.88552941176471,5752.0,-1.062049491511323,-0.04442737486560483,264
20,0.24928815246182784,0.11923286038219412,5e-324,1.0,-0.02838877628147479,0.0,0.5024157769324602,27.88552941176471,5753.0,-0.9756586052485652,0.2521529460687817,264
21,0.2055222815772152,0.09084408410071933,5e-324,1.0,-0.0216295438335046,0.0,0.2276235056405476,27.88552941176471,5754.0,-0.8603015564628348,0.5250644015741396,264
0,0.16315822668311236,0.06921454026721473,5e-324,0.0,0.05114205822707611,-1e-323,-0.038367199678163384,98.21531897386811,5755.0,-0.7047538365783769,0.7658164904029245,265
1,0.1866997352565207,0.12035659849429085,-5e-324,0.0,0.048332055027786223,1e-323,0.10944260005323693,94.83512976069498,5756.0,-0.49769795020427504,0.9632446869573776,265
2,0.20025907101042015,0.16868865352207707,5e-324,0.0,0.04567644760867708,-1e-323,0.1945774458523104,91.64066522956436,5757.0,-0.2368373404976977,1.10357744875474,265
3,0.2057271284432239,0.21436510113075416,-5e-324,0.0,0.0431667526851234,1e-323,0.2289096753074551,88.62172072761675,5758.0,0.06480099540532819,1.1728692530578289,265
4,0.20605907367661894,0.2575318538158776,5e-324,0.0,0.0407949530870397,-1e-323,0.2309938560351652,85.76865229720471,5759.0,0.3861423866410997,1.1609022363346264,265
5,0.2038424230361614,0.29832680690291724,-5e-324,0.0,0.03855347214819136,1e-323,0.2170761970958988,83.07234586846366,5760.0,0.7088100815210492,1.0629994352505732,265
6,0.20163054119256188,0.3368802790511086,5e-324,0.0,0.03643514950268634,-1e-323,0.2031884799467409,80.5241881445985,5761.0,1.0146266906117536,0.8791044303229009,265
7,0.21043421524079736,0.37331542855379496,-5e-324,0.0,0.03443321821132995,1e-323,0.2584640071676292,78.11603908687977,5762.0,1.221914578492105,0.6137432303038867,265
8,0.2542055231830793,0.4077486467651249,5e-324,0.0,0.032541283144773364,-1e-323,0.5332904160511376,75.84020591145327,5763.0,1.1518613922133951,0.2926668099220599,265
9,0.2936427870562862,0.44028992990989824,-5e-324,0.0,0.0307533005544012,1e-323,0.7809047121730757,73.68941851489637,5764.0,1.1001286035529787,-0.01223286386540895,265
10,0.3347140010816292,0.4710432304642994,5e-324,0.0,0.029063558765697838,-1e-323,1.038778072364983,71.65680625001842,5765.0,1.0227249015954254,-0.30603146314523666,265
11,0.377070499261192,0.5001067892299973,-5e-324,0.0,0.02746665993241773,1e-323,1.3047213314268282,69.73587597771618,5766.0,0.9230029254974144,-0.58235500312296,265
12,0.4223063185779651,0.527573449162415,5e-324,0.0,0.025957502793273902,-1e-323,1.5887429510714857,67.9204913247712,5767.0,0.789700904609527,-0.8356108493609273,265
13,0.4721847418312005,0.5535309519556889,-5e-324,0.0,0.02453126637606105,1e-323,1.9019140347762258,66.20485308132871,5768.0,0.6102491382182178,-1.057100965629879,265
14,0.5279043008361811,0.5780622183317501,5e-324,0.0,0.023183394597156598,-1e-323,2.2517597904960223,64.58348067543797,5769.0,0.37627845082947403,-1.2344677544138405,265
15,0.5888601221929316,0.6012456129289065,-5e-324,0.0,0.02190958170720294,1e-323,2.63448240655562,63.05119466547533,5770.0,0.09291440912209276,-1.3524322563251159,265
16,0.6526435325182549,0.6231551946361095,5e-324,0.0,0.020705758536477503,-1e-323,3.0349585730244533,61.60310019452161,5771.0,-0.22121783857573515,-1.3959838931145845,265
17,0.7165461785133025,0.643860953172587,-5e-324,0.0,0.019568079496011703,1e-323,3.4361833831245066,60.234571353840074,5772.0,-0.5452755089325998,-1.3539716704141465,265
18,0.7784585065504283,0.6634290326685987,5e-324,1.0,-0.1579592934925235,0.0,3.824911606701869,27.88552941176471,5773.0,-0.8629367883107996,-1.2202430512837794,265
19,0.6573480419690927,0.5054697391760752,5e-324,1.0,-0.12034993789906552,0.0,3.0644967225272537,27.88552941176471,5774.0,-1.1393721139761257,-0.9932706197322894,265
20,0.5476614918961614,0.3851198012770097,5e-324,1.0,-0.0916951907802404,0.0,2.375809039282456,27.88552941176471,5775.0,-1.2193675215240192,-0.6825454543683018,265
21,0.4416533473021338,0.2934246104967693,5e-324,1.0,-0.06986300249923078,0.0,1.71021691830684,27.88552941176471,5776.0,-1.1119935244213393,-0.34487711765238577,265
22,0.3648326484929285,0.2235616079975385,5e-324,1.0,-0.053228954285128215,0.0,1.2278836782424856,27.88552941176471,5777.0,-1.0597977531537133,-0.03560353215102418,265
0,0.29999980447648605,0.1703326537124103,5e-324,0.0,0.045586117927889545,-1e-323,0.820818444499904,91.53200648757269,5778.0,-0.9727468174349267,0.26036962114525075,266
1,0.3300798495033047,0.21591877164029985,-5e-324,0.0,0.043081386173609904,1e-323,1.009681678028946,88.51903224617406,5779.0,-0.8564221895199162,0.5324730644006705,266
2,0.3522487449420903,0.2590001578139097,5e-324,0.0,0.040714277043191784,-1e-323,1.1488732674232882,85.67160604001711,5780.0,-0.6995392882834252,0.7721417526749708,266
3,0.36515192963623017,0.2997144348571015,-5e-324,0.0,0.03847722885400542,1e-323,1.2298883450930518,82.98063182320946,5781.0,-0.4909039368276722,0.9681234531455656,266
4,0.3686674343561855,0.3381916637111069,5e-324,0.0,0.03636309540048863,-1e-323,1.2519611042363776,80.4375133326,5782.0,-0.2286254361971389,1.1065943598806585,266
5,0.3647074657101449,0.3745547591115955,-5e-324,0.0,0.034365123125736516,1e-323,1.227097694540746,78.0341266271889,5783.0,0.07387316880308054,1.1736630701908672,266
6,0.3562033650784592,0.4089198822373321,5e-324,0.0,0.032476929547399336,-1e-323,1.1737030954926206,75.76279413636081,5784.0,0.395472746878266,1.1592627772984874,266
